,dataset,itr,method,acc,time
0,OliveOil,0,TREE,0.8333333134651184,0.025913000106811523
1,OSULeaf,0,TREE,0.6859503984451294,2.7426259517669678
2,SonyAIBORobotSurface1,0,TREE,0.662229597568512,0.0009965896606445312
3,SonyAIBORobotSurface2,0,TREE,0.8132213950157166,0.0019936561584472656
4,StarLightCurves,0,TREE,0.8257649540901184,202.38170170783997
5,SwedishLeaf,0,TREE,0.9136000275611877,3.859675645828247
6,Symbols,0,TREE,0.8452261090278625,0.016942739486694336
7,SyntheticControl,0,TREE,0.9633333086967468,0.30956530570983887
8,Trace,0,TREE,1.0,0.1285696029663086
9,TwoLeadECG,0,TREE,0.8814749717712402,0.0009968280792236328
10,TwoPatterns,0,TREE,0.9865000247955322,9.513500690460205
11,UWaveGestureLibraryX,0,TREE,0.7677275538444519,40.02518653869629
12,UWaveGestureLibraryY,0,TREE,0.6867671608924866,38.085328102111816
13,UWaveGestureLibraryZ,0,TREE,0.729759931564331,40.047091484069824
14,Wafer,0,TREE,0.9918884038925171,8.403088092803955
15,WordSynonyms,0,TREE,0.6034482717514038,4.364212274551392
16,Yoga,0,TREE,0.8483333587646484,6.037054777145386
17,MedicalImages,0,ET,0.7434210777282715,0.5931921005249023
18,MoteStrain,0,ET,0.8562300205230713,0.06079602241516113
19,OliveOil,0,ET,0.8999999761581421,0.08870339393615723
20,OSULeaf,0,ET,0.71074378490448,0.6071467399597168
21,SonyAIBORobotSurface1,0,ET,0.9051580429077148,0.0597996711730957
22,SonyAIBORobotSurface2,0,ET,0.8950682282447815,0.0613408088684082
23,StarLightCurves,0,ET,0.9655172228813171,4.879573106765747
24,SwedishLeaf,0,ET,0.9088000059127808,1.0188226699829102
25,Symbols,0,ET,0.9547738432884216,0.07574653625488281
26,SyntheticControl,0,ET,0.9933333396911621,0.17702293395996094
27,Trace,0,ET,1.0,0.09268951416015625
28,TwoLeadECG,0,ET,0.863915741443634,0.06282687187194824
29,TwoPatterns,0,ET,0.9692500233650208,1.3929431438446045
30,UWaveGestureLibraryX,0,ET,0.6828587651252747,4.6142189502716064
31,UWaveGestureLibraryY,0,ET,0.6538246870040894,5.300962686538696
32,UWaveGestureLibraryZ,0,ET,0.21077610552310944,4.827546119689941
33,Wafer,0,ET,0.9933484792709351,0.9181499481201172
34,WordSynonyms,0,ET,0.6551724076271057,1.197279453277588
35,Yoga,0,ET,0.8496666550636292,0.8706364631652832
36,MedicalImages,0,ADA,0.5460526347160339,44.44232630729675
37,MoteStrain,0,ADA,0.7883386611938477,0.231842041015625
38,OliveOil,0,ADA,0.8333333134651184,3.8298394680023193
39,OSULeaf,0,ADA,0.4917355477809906,126.2466070652008
40,SonyAIBORobotSurface1,0,ADA,0.6971713900566101,0.0009965896606445312
41,SonyAIBORobotSurface2,0,ADA,0.8216159343719482,0.3019890785217285
42,StarLightCurves,0,ADA,0.9147644639015198,8514.98466014862
43,SwedishLeaf,0,ADA,0.37119999527931213,175.95750164985657
44,Symbols,0,ADA,0.9668341875076294,1.7822294235229492
45,SyntheticControl,0,ADA,0.9866666793823242,26.77541708946228
46,Trace,0,ADA,1.0,16.78003191947937
47,TwoLeadECG,0,ADA,0.892010509967804,0.0009968280792236328
48,TwoPatterns,0,ADA,0.8690000176429749,681.0574269294739
49,UWaveGestureLibraryX,0,ADA,0.7026800513267517,1370.4584369659424
50,UWaveGestureLibraryY,0,ADA,0.30178672075271606,1340.1358621120453
51,UWaveGestureLibraryZ,0,ADA,0.34840869903564453,1402.5187425613403
52,Wafer,0,ADA,0.9951330423355103,784.4338879585266
53,WordSynonyms,0,ADA,0.26175549626350403,137.25752758979797
54,Yoga,0,ADA,0.8576666712760925,279.77538800239563
55,Adiac,1,TREE,0.7289002537727356,8.71950626373291
56,Beef,1,TREE,0.46666666865348816,0.03388571739196777
57,CBF,1,TREE,0.9900000095367432,0.0039865970611572266
58,ChlorineConcentration,1,TREE,0.5455729365348816,9.08939814567566
59,CinCECGTorso,1,TREE,0.5340579748153687,0.1883697509765625
60,Coffee,1,TREE,0.6428571343421936,0.005980014801025391
61,CricketX,1,TREE,0.7256410121917725,8.825976371765137
62,CricketY,1,TREE,0.7102563977241516,7.40922999382019
63,CricketZ,1,TREE,0.7051281929016113,9.720916748046875
64,DiatomSizeReduction,1,TREE,0.0,0.0039861202239990234
65,ECG200,1,TREE,0.8500000238418579,0.02989959716796875
66,ECGFiveDays,1,TREE,0.869918704032898,0.0019931793212890625
67,FaceAll,1,TREE,0.7520710229873657,6.366955041885376
